trade_date,portfolio_value,benchmark_value,cash,equity,position,n_holdings
2022-01-04,999200.0,1000000.0,199200.0,800000.0,0.8,10
2022-01-05,1007012.4900418681,989904.9472735106,199200.0,807812.4900418681,0.8,10
2022-01-06,996094.7896409854,979760.4208561965,199200.0,796894.7896409854,0.8,10
2022-01-07,1009373.9163699199,980601.6769446074,199200.0,810173.9163699199,0.8,10
2022-01-10,1016196.9516576498,985009.4106768373,199200.0,816996.9516576498,0.8,10
2022-01-11,1013616.9116488283,975600.3402602398,199200.0,814416.9116488283,0.8,10
2022-01-12,1009057.8410019847,985321.2596379905,199200.0,809857.8410019847,0.8,10
2022-01-13,1002510.1488061287,969122.9266268563,199200.0,803310.1488061287,0.8,10
2022-01-14,993117.2598955419,961154.3885593727,199200.0,793917.2598955419,0.8,10
2022-01-17,994461.616033006,969398.8853026394,199200.0,795261.616033006,0.8,10
2022-01-18,1007866.7904808332,978767.1648339948,199200.0,808666.7904808332,0.8,10
2022-01-19,1010595.4500575442,972063.1442090169,199200.0,811395.4500575442,0.8,10
2022-01-20,1026739.6178539736,980833.530221542,199200.0,827539.6178539736,0.8,10
2022-01-21,1016871.0621337163,971846.7451059528,199200.0,817671.0621337163,0.8,10
2022-01-24,1017666.8641791177,973356.2722076223,199200.0,818466.8641791177,0.8,10
2022-01-25,1004403.5581778275,951336.7992571748,199200.0,805203.5581778275,0.8,10
2022-01-26,1007720.0541181137,958221.9997363437,199200.0,808520.0541181137,0.8,10
2022-01-27,995330.091651428,939425.9827731104,199200.0,796130.091651428,0.8,10
2022-01-28,989383.0378287676,928017.4472742731,199200.0,790183.0378287676,0.8,10
2022-02-07,988591.5313985045,942316.1979690247,197085.1011354904,791506.430263014,0.8,10
2022-02-08,993083.9043452744,937168.1279706456,197085.1011354904,795998.8032097841,0.8,10
2022-02-09,995014.5020962078,945970.5000561944,197085.1011354904,797929.4009607175,0.8,10
2022-02-10,997632.3354837354,943490.0238122385,197085.1011354904,800547.2343482451,0.8,10
2022-02-11,1001580.7369896288,935667.9343766163,197085.1011354904,804495.6358541384,0.8,10
2022-02-14,987166.1746672955,925560.1929600015,197085.1011354904,790081.0735318051,0.8,10
2022-02-15,984978.0838157476,935405.050745305,197085.1011354904,787892.9826802573,0.8,10
2022-02-16,989357.9736559484,939042.2312345813,197085.1011354904,792272.872520458,0.8,10
2022-02-17,987069.3323895985,941314.7268333444,197085.1011354904,789984.231254108,0.8,10
2022-02-18,994284.7863024925,945802.720597504,197085.1011354904,797199.6851670021,0.8,10
2022-02-21,990309.255983362,942361.7877819423,197085.1011354904,793224.1548478715,0.8,10
2022-02-22,978931.6029371512,930128.3044150154,197085.1011354904,781846.5018016609,0.8,10
2022-02-23,978971.6248251474,940070.5844990204,197085.1011354904,781886.523689657,0.8,10
2022-02-24,963605.0859143895,921011.6025667187,197085.1011354904,766519.9847788991,0.8,10
2022-02-25,962316.8864980424,929980.2696968884,197085.1011354904,765231.7853625519,0.8,10
2022-02-28,958871.4317538112,931652.0046208794,197085.1011354904,761786.3306183207,0.8,10
2022-03-01,958104.3346084084,939387.2863351165,191007.1892053596,767097.1454030488,0.8,10
2022-03-02,958729.8137893756,931032.7802752197,191007.1892053596,767722.624584016,0.8,10
2022-03-03,965411.9692317394,925548.0939686162,191007.1892053596,774404.7800263799,0.8,10
2022-03-04,958225.3548103876,914323.8494931833,191007.1892053596,767218.1656050279,0.8,10
2022-03-07,944582.9218113327,885112.8987387829,191007.1892053596,753575.7326059731,0.8,10
2022-03-08,928233.0302849323,867343.3439371333,191007.1892053596,737225.8410795727,0.8,10
2022-03-09,919599.2059972668,859403.8231145354,191007.1892053596,728592.0167919071,0.8,10
2022-03-10,918069.7697072835,872924.4154860339,191007.1892053596,727062.5805019238,0.8,10
2022-03-11,923655.1671981693,875707.0411635952,191007.1892053596,732647.9779928096,0.8,10
2022-03-14,908548.5587568833,848913.5705601892,191007.1892053596,717541.3695515237,0.8,10
2022-03-15,873197.0584516437,810085.8330917093,191007.1892053596,682189.869246284,0.8,10
2022-03-16,899319.0504847132,845115.7683348573,191007.1892053596,708311.8612793536,0.8,10
2022-03-17,904169.0940229024,861711.639634368,191007.1892053596,713161.9048175428,0.8,10
2022-03-18,920714.2870798495,867447.1919186547,191007.1892053596,729707.0978744898,0.8,10
2022-03-21,914168.6043577865,865992.1001109995,191007.1892053596,723161.4151524268,0.8,10
2022-03-22,925373.9280623235,865290.3789450871,191007.1892053596,734366.7388569638,0.8,10
2022-03-23,922154.2491445816,869605.8349917593,191007.1892053596,731147.059939222,0.8,10
2022-03-24,923735.9604860789,864479.2584957236,191007.1892053596,732728.7712807193,0.8,10
2022-03-25,919071.7493275332,848876.2568640679,191007.1892053596,728064.5601221735,0.8,10
2022-03-28,924587.2141566938,843567.3617852401,191007.1892053596,733580.0249513341,0.8,10
2022-03-29,923095.1087067958,840655.0227193641,191007.1892053596,732087.9195014363,0.8,10
2022-03-30,932056.148516326,865047.1587165821,191007.1892053596,741048.9593109664,0.8,10
2022-03-31,935787.1413914047,858641.3833128638,191007.1892053596,744779.9521860451,0.8,10
2022-04-01,935038.5116782917,869532.7530169039,186408.79856516776,748629.7131131239,0.8,10
2022-04-06,939971.9964436756,867028.1804623738,186408.79856516776,753563.1978785078,0.8,10
2022-04-07,932426.2853432125,855896.8440401171,186408.79856516776,746017.4867780448,0.8,10
2022-04-08,941049.6027685662,860302.7273383704,186408.79856516776,754640.8042033985,0.8,10
2022-04-11,928773.777277068,833726.3065400865,186408.79856516776,742364.9787119002,0.8,10
2022-04-12,937383.3892454314,849974.0115698486,186408.79856516776,750974.5906802637,0.8,10
2022-04-13,934672.3586345976,841792.30757515,186408.79856516776,748263.5600694299,0.8,10
2022-04-14,939531.4450430595,852331.9321481243,186408.79856516776,753122.6464778918,0.8,10
2022-04-15,941076.5534659021,851758.2569465037,186408.79856516776,754667.7549007344,0.8,10
2022-04-18,928560.192532626,847210.9069540184,186408.79856516776,742151.3939674583,0.8,10
2022-04-19,927778.3658016869,840809.0764315248,186408.79856516776,741369.5672365191,0.8,10
2022-04-20,925578.7276485406,827772.0980299731,186408.79856516776,739169.9290833728,0.8,10
2022-04-21,924971.4972460249,812529.6260071622,186408.79856516776,738562.6986808571,0.8,10
2022-04-22,929232.4866161151,816071.8446648928,186408.79856516776,742823.6880509473,0.8,10
2022-04-25,904868.5278511748,775741.1074497597,186408.79856516776,718459.7292860071,0.8,10
2022-04-26,901737.9401311995,769479.5438895792,186408.79856516776,715329.1415660317,0.8,10
2022-04-27,904975.1705322326,792135.4237868976,186408.79856516776,718566.3719670649,0.8,10
2022-04-28,906273.1380747659,797335.1839299855,186408.79856516776,719864.3395095981,0.8,10
2022-04-29,911771.7540048615,816680.0884133287,186408.79856516776,725362.9554396936,0.8,10
2022-05-05,911042.3366016573,815453.7590478341,181624.93339776812,729417.4032038893,0.8,10
2022-05-06,897328.7180926164,794835.6136475239,181624.93339776812,715703.7846948482,0.8,10
2022-05-09,892581.4052150317,788454.9512763451,181624.93339776812,710956.4718172636,0.8,10
2022-05-10,898913.0077973306,797083.2605614587,181624.93339776812,717288.0743995626,0.8,10
2022-05-11,899767.3775261096,808583.3417060387,181624.93339776812,718142.4441283414,0.8,10
2022-05-12,897420.9620613991,804987.5824696228,181624.93339776812,715796.028663631,0.8,10
2022-05-13,908274.1487339635,811059.4867144228,181624.93339776812,726649.2153361953,0.8,10
2022-05-16,901604.7898634728,804539.7774472889,181624.93339776812,719979.8564657047,0.8,10
2022-05-17,907717.4994065675,814575.9619719957,181624.93339776812,726092.5660087994,0.8,10
